Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change in %,Volume
A,Agilent Technologies Inc.,Healthcare,Diagnostics & Research,USA,40.78B,33.14,139.17,0.1,29693
AA,Alcoa Corp,Basic Materials,Aluminum,USA,6.00B,,33.63,1.09,189763
AAA,AXS First Priority CLO Bond ETF,Financial,Exchange Traded Fund,USA,-,,25.08,0.48,1291
AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,,20.5,0.32,53963
AACG,ATA Creativity Global ADR,Consumer Defensive,Education & Training Services,China,35.15M,,1.12,3.42,398
AACI,Armada Acquisition Corp I,Financial,Shell Companies,USA,86.99M,,10.78,0.09,5513
AACT,Ares Acquisition Corporation II,Financial,Shell Companies,USA,652.50M,,10.44,0.0,0
AADI,Aadi Bioscience Inc,Healthcare,Biotechnology,USA,49.55M,,2.02,0.0,30990
AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,,55.65,1.01,22
AAGR,African Agriculture Holdings Inc,Consumer Defensive,Farm Products,USA,6.11M,,1.16,7.19,22379
AAL,American Airlines Group Inc,Industrials,Airlines,USA,8.86B,6.22,13.56,1.35,1794588
AAMC,Altisource Asset Management Corp,Financial,Mortgage Finance,USA,11.14M,,4.03,2.54,408
AAME,Atlantic American Corp.,Financial,Insurance - Life,USA,50.39M,20.2,2.47,0.81,590
AAN,Aarons Company Inc,Industrials,Rental & Leasing Services,USA,352.43M,39.58,11.62,6.8,47508
AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,660.69M,,18.59,3.78,156341
AAON,AAON Inc.,Industrials,Building Products & Equipment,USA,5.99B,36.14,73.77,0.14,10994
AAP,Advance Auto Parts Inc,Consumer Cyclical,Specialty Retail,USA,3.63B,19.57,61.07,0.07,39298
AAPB,GraniteShares 1.75x Long AAPL Daily ETF,Financial,Exchange Traded Fund,USA,-,,21.94,4.49,12301
AAPD,Direxion Daily AAPL Bear 1X Shares,Financial,Exchange Traded Fund,USA,-,,20.7,2.53,66763
AAPL,Apple Inc,Technology,Consumer Electronics,USA,2917.71B,30.61,187.6,2.56,8929660
AAPU,Direxion Daily AAPL Bull 1.5X Shares,Financial,Exchange Traded Fund,USA,-,,26.31,4.02,70881
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,Financial,Exchange Traded Fund,USA,-,,26.73,0.0,2
AAT,American Assets Trust Inc,Real Estate,REIT - Diversified,USA,1.37B,28.66,22.63,0.53,8989
AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,19.91M,,0.15,0.07,12036
AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,,65.54,1.55,80679
AB,AllianceBernstein Holding Lp,Financial,Asset Management,USA,3.46B,13.94,30.94,0.29,18298
ABAT,American Battery Technology Company,Basic Materials,Other Industrial Metals & Mining,USA,228.02M,,4.64,1.08,19743
ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,275.02B,42.63,155.77,0.52,162345
ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,3.64B,12.77,52.67,0.72,6952
ABCL,AbCellera Biologics Inc,Healthcare,Biotechnology,Canada,1.62B,,5.59,2.1,117395
ABEO,Abeona Therapeutics Inc,Healthcare,Biotechnology,USA,125.09M,,5.05,0.8,6223
ABEQ,Absolute Select Value ETF,Financial,Exchange Traded Fund,USA,-,,28.31,0.19,6
ABEV,Ambev S.A. ADR,Consumer Defensive,Beverages - Brewers,Brazil,43.84B,14.89,2.79,0.54,660390
ABG,Asbury Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,4.66B,5.41,226.45,0.66,2488
ABIO,ARCA biopharma Inc,Healthcare,Biotechnology,USA,24.57M,,1.71,0.29,947
ABL,Abacus Life Inc,Financial,Insurance - Life,USA,573.32M,53.36,9.05,6.31,3696
ABLV,Able View Global Inc,Communication Services,Advertising Agencies,China,113.95M,20.55,2.69,0.37,26
ABM,ABM Industries Inc.,Industrials,Specialty Business Services,USA,2.82B,11.84,44.88,0.11,8256
ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,USA,86.48B,16.37,135.12,0.75,213126
ABOS,Acumen Pharmaceuticals Inc,Healthcare,Biotechnology,USA,228.16M,,3.94,2.6,115184
ABR,Arbor Realty Trust Inc.,Real Estate,REIT - Mortgage,USA,2.85B,8.54,15.1,0.49,607408
ABSI,Absci Corp,Healthcare,Biotechnology,USA,352.24M,,3.79,9.76,426638
ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,191.50B,37.49,110.31,0.22,135217
ABTS,Abits Group Inc,Communication Services,Advertising Agencies,China,42.57M,,1.2,5.03,39172
ABUS,Arbutus Biopharma Corp,Healthcare,Biotechnology,USA,419.21M,,2.5,0.0,23846
ABVC,ABVC BioPharma Inc,Healthcare,Biotechnology,USA,9.21M,,1.19,2.59,1271
ABVX,Abivax ADR,Healthcare,Biotechnology,France,655.63M,,10.47,2.2,28437
AC,Associated Capital Group Inc,Financial,Asset Management,USA,751.76M,22.0,34.82,2.49,2
ACA,Arcosa Inc,Industrials,Engineering & Construction,USA,4.00B,13.95,82.04,0.72,2171
ACAB,Atlantic Coastal Acquisition Corp II,Financial,Shell Companies,USA,120.34M,78.8,11.0,4.27,3
ACAC,Acri Capital Acquisition Corp,Financial,Shell Companies,USA,59.83M,85.54,11.06,0.0,0
ACAD,Acadia Pharmaceuticals Inc,Healthcare,Biotechnology,USA,5.11B,,31.13,0.57,57789
ACAH,Atlantic Coastal Acquisition Corp,Financial,Shell Companies,Ireland,128.41M,39.7,10.56,0.28,12
ACAX,Alset Capital Acquisition Corp,Financial,Shell Companies,USA,47.94M,162.5,10.4,0.97,200
ACB,Aurora Cannabis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,210.07M,0.61,0.48,1.45,893632
ACBA,Ace Global Business Acquisition Ltd,Financial,Shell Companies,Hong Kong,40.92M,,11.93,0.68,1
ACCD,Accolade Inc,Healthcare,Health Information Services,USA,930.01M,,12.2,1.58,27086
ACCO,Acco Brands Corporation,Industrials,Business Equipment & Supplies,USA,579.07M,10.41,6.1,0.33,19318
ACDC,ProFrac Holding Corp,Energy,Oil & Gas Equipment & Services,USA,1.35B,9.1,8.47,0.12,42089
ACEL,Accel Entertainment Inc,Consumer Cyclical,Gambling,USA,876.83M,20.99,10.34,0.68,46023
ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,-,,35.57,0.92,2779
ACET,Adicet Bio Inc,Healthcare,Biotechnology,USA,81.14M,,1.88,0.53,19857
ACGL,Arch Capital Group Ltd,Financial,Insurance - Diversified,Bermuda,27.85B,9.55,74.62,0.47,50675
ACHC,Acadia Healthcare Company Inc,Healthcare,Medical Care Facilities,USA,7.18B,,77.83,0.09,7010
ACHL,Achilles Therapeutics Plc ADR,Healthcare,Biotechnology,United Kingdom,35.49M,,0.87,2.1,6203
ACHR,Archer Aviation Inc,Industrials,Aerospace & Defense,USA,1.81B,,6.01,2.2,555438
ACHV,Achieve Life Sciences Inc.,Healthcare,Biotechnology,Canada,88.28M,,4.17,1.21,4284
ACI,Albertsons Companies Inc,Consumer Defensive,Grocery Stores,USA,13.14B,12.04,22.81,0.81,191702
ACIC,American Coastal Insurance Corp,Financial,Insurance - Property & Casualty,USA,417.49M,,9.51,0.53,7391
ACIO,Aptus Collared Investment Opportunity ETF,Financial,Exchange Traded Fund,USA,-,,33.08,0.24,1569
ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,490.79M,,4.97,0.6,10236
ACIW,ACI Worldwide Inc,Technology,Software - Infrastructure,USA,3.30B,38.02,30.33,0.88,8816
ACLS,Axcelis Technologies Inc,Technology,Semiconductor Equipment & Materials,USA,4.12B,18.03,125.95,2.88,31139
ACLX,Arcellx Inc,Healthcare,Biotechnology,USA,2.73B,,56.06,1.01,34623
ACM,AECOM,Industrials,Engineering & Construction,USA,12.59B,241.61,92.56,0.14,18419
ACMR,ACM Research Inc,Technology,Semiconductor Equipment & Materials,USA,1.14B,17.37,18.86,3.48,54440
ACN,Accenture plc,Technology,Information Technology Services,Ireland,219.09B,32.38,349.42,0.42,104698
ACNB,ACNB Corp.,Financial,Banks - Regional,USA,374.27M,9.92,43.98,1.74,3619
ACNT,Ascent Industries Co,Basic Materials,Steel,USA,91.52M,,9.03,5.49,5131
